os;sc;item;Produto;Descricao;Quantidade;emissao;APLICACAO;Observacao;cotacao;pc;dt_aprovacao_n1;dt_aprovacao_n2;dt_aprovacao_n3;quantidade_ja_entregue;ja_emitiu_fornecedor;valor_total;status_sc;status_pc;previsao_entrega;pc_eliminado_residuo;motivo_eliminado_residuo;sc_eliminado_residuo;data_pc;conta_pc;centro_custo_pc;solicitante;requisitante;fornecedor;tipo_pagamento
;502304;0001;88388;DEGRAUS REFRIGERADOS COM MATERIAL ORIGINAL XCS3.2 DE ACORDO;24;26/07/2017;CALDEIRA MDF-II;SC gerada por SA - DEGRAUS REFRIGERADOS PARA AS GRELHAS CALDEIRA MDF-II;IMPORX;751750;07/08/2017;30/08/2017;31/08/2017;0;S;64904,88;B;L;05/12/2017;;;;31/07/2017;113800001;2202002;tiago.ferrugem;GABRIEL MALHEIROS;VYNCKE N V  BELGICA;025
;502304;0002;88389;SUPORTE EXTRAS ANTI-DESGASTE SOLDADAS NOS DEGRAUS PARA MELHO;24;26/07/2017;CALDEIRA MDF-II;SC gerada por SA - SUPORTE ANTI-DESGASTE DOS DEGRAUS REFRIGERADOS PARA GRELHAS CALDEIRA MDF-II;IMPORX;751750;07/08/2017;30/08/2017;31/08/2017;0;S;26880;B;L;05/12/2017;;;;31/07/2017;113800001;2202002;tiago.ferrugem;GABRIEL MALHEIROS;VYNCKE N V  BELGICA;025
;502304;0003;88390;ELETRODO OK 67.60 COM Ø2.5 X 300MM;2550;26/07/2017;CALDEIRA MDF-II;SC gerada por SA - MATERIAL NECESSARIO PARA MONTAGEM DOS DEGRAUS REFRIGERADOS NAS GRELHAS CALDEIRA MDF-II;IMPORX;751750;07/08/2017;30/08/2017;31/08/2017;0;S;2703;B;L;05/12/2017;;;;31/07/2017;113800001;2202002;tiago.ferrugem;GABRIEL MALHEIROS;VYNCKE N V  BELGICA;025
;502304;0004;88391;BARRA DE SOLDADURA OK 67.60 OK COM Ø3.2 X 350MM;2784;26/07/2017;CALDEIRA MDF-II;SC gerada por SA - MATERIAL NECESSARIO PARA MONTAGEM DOS DEGRAUS REFRIGERADOS NAS GRELHAS CALDEIRA MDF-II;IMPORX;751750;07/08/2017;30/08/2017;31/08/2017;0;S;5512,32;B;L;05/12/2017;;;;31/07/2017;113800001;2202002;tiago.ferrugem;GABRIEL MALHEIROS;VYNCKE N V  BELGICA;025
;506643;0002;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;15/02/2019;AGITADOR DO DIGESTOR MDF 2;MATERIAL APLICADO NO CONSERTO;047778;777761;;;;0;;54175;L;B;08/05/2019;S;Elim. Automatica Fora Prazo Data: 31/07/19 as 16:02:37;;27/02/2019;512206002;2203002;william.rosa;vidal;TGS-COMERCIO E SERVICOS ESPECIALIZADOS EM REDUTORES INDUSTRI;003
;508814;0002;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;04/09/2019;TALHA ELETRICA;MATERIAL APLICADO;048992;784236;;;;0;;1365,5;L;L;05/09/2019;S;;;05/09/2019;113800001;2299008;william.rosa;joao.berchol;SOLUCOES TECNICAS INDUSTRIAIS DE ESTRUTURAS METALICAS LTDA;002
;510969;0003;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;11/01/2019;ETA;CONSERTO EXTERNO INVERSOR SIEMENS MICROMASTER CODIGO DE ALMOX 54936 (BOMBAS DE EMERGENCIA MDF) INVERSOR MICROMASTER MM440 380-440V 6SE6440-2UD31-5DA1 SIEMENS;047287;776953;16/01/2019;22/01/2019;22/01/2019;1;S;9315,97;L;L;03/02/2019;;;;14/01/2019;512206002;2102001;joao.berchol;RICARDO ANTUNES;USINA INDUSTRIA E COMERCIO DE EQUIPAMENTOS ELETRICOS LTDA;003
;511440;0001;35551;CAIXA C/ FERRAMENTAS P/ OFICINA;13;01/01/2019;OFICINA MECANICA;CAIXAS DE FERRAMENTAS TRANSFERIDAS DE SAPUCAIA 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;13;S;650;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0002;34192;FURADEIRA BOSCH MOD.GBM 13-2 1/2''220V 600W RPM 550/1200 COD;3;01/01/2019;OFICINA MECANICA;FURANDEIRAS TRANSFERIDAS DE SAPUCAIA EM 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;3;S;90;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0003;15192;SOPRADOR TERMICO (220V) REF= 8290504 FG / 060194C714 BOSCH;1;01/01/2019;OFICINA MECANICA;SOPRADOR TRANSFERIDO DE SAPUCAIA EM 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;1;S;50;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0004;31521;ESMERILHADEIRA ANGULAR ELETRICA 7''BOSCH GWS 20-230;3;01/01/2019;OFICINA MECANICA;ESMERILHADEIRAS TRANSFERIDAS DE SAPUCAIA EM 27/12/2108;047228;777040;18/01/2019;23/01/2019;23/01/2019;3;S;120;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0005;31642;SERRA CIRCULAR 220V 750W;1;01/01/2019;OFICINA MECANICA;MARRETA TRANSFERIDA DE SAPUCAIA EM 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;1;S;50;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0006;15785;MARTELO C/ ORELHA;1;01/01/2019;OFICINA MECANICA;MARTELHO TRANSFERIDO DE SAPUCAIA EM 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;1;S;2;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0007;55656;CAIXA;1;01/01/2019;OFICINA MECANICA;CAIXA PADRAO TRANSFERIDA DE SAPUCAIA EM 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;1;S;3;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0008;17043;MARRETA C/ 1KG;1;01/01/2019;OFICINA MECANICA;MARRETA TRANSFERIDA DE SAPUCAIA EM 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;1;S;5;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511440;0009;90450;CAIXA DE FERRAMENTAS COM 7 GAVETAS 50X20X25 CM;4;02/01/2019;OFICINA MECANICA;CAIXAS DE FERRAMENTAS COM GAVETAS TRANSFERIDAS DE SAPUCAIA EM 27/12/2018;047228;777040;18/01/2019;23/01/2019;23/01/2019;4;S;400;L;L;18/01/2019;;;;17/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ISDRALIT IND E COM LTDA;003
;511441;0001;89954;OLEO MINERAL NUTO H 68;1000;02/01/2019;REVESTIMENTOS;REPOSICAO DE OLEO HIDRAULICO DAS PRENSAS;047204;776716;02/01/2019;;;1000;S;9500;L;L;05/01/2019;;;;02/01/2019;113800001;2299003;ricardo.rodrigues;ricardo.rodrigues;LUBRITEC DISTRIBUIDORA DE LUBRIFICANTES LTDA;020
;511442;0001;58098;VALVULA RETENCAO DUO-FLAP 150L DISCO INOX 3'';2;02/01/2019;USO NAS BOMBAS AUTO ESCORVANTE DA LAVAGEM DA LINHA 1;SC gerada por SA;047225;776798;08/01/2019;09/01/2019;09/01/2019;2;S;600,5;L;L;12/01/2019;;;;07/01/2019;113800001;2203001;anderson.rodrigues;VINICIUS. VIDAL;METALURGICA SCAI DO SUL LTDA.;003
;511442;0002;90451;SELO MECANICO PARA BOMBA IMBIL E3 AUTOESCORVANTE Ø INTERNO 1;3;02/01/2019;USO NAS BOMBAS AUTO ESCORVANTE RESERVAS;SC gerada por SA;047239;776863;18/02/2019;19/02/2019;19/02/2019;3;S;1710;L;L;24/01/2019;;;;09/01/2019;512206002;2203001;anderson.rodrigues;VINICIUS.VIDAL;IGUACU SELOS E BOMBAS INDUSTRIAIS LTDA.;003
;511443;0001;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;6;02/01/2019;CALDEIRA MDF-II;OLEO MINERAL W6011 MOBILGEAR;047339;777035;31/01/2019;01/02/2019;01/02/2019;6;S;128,28;L;L;20/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0002;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;EIXO SAIDA R107/RF107 D70X140;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;996,12;L;L;20/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0003;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;RETENTOR W BASF 82X160X13 NBR;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;91,75;L;L;20/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0004;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;ROLAMENTO ESFERA 6315Z;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;270,74;L;L;20/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0005;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;VALVULA RESPIRO W4087 M22X1,5;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;39,31;L;L;20/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0006;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;ROLAMENTO NJ214E;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;265,08;L;L;20/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0007;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;ROLAMENTO 30307;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;56,24;L;L;20/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0008;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;ROLAMENTO NUP2308E;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;209,71;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0009;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;ROLAMENTO 30308;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;70,62;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0010;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;2;02/01/2019;CALDEIRA MDF-II;ROLAMENTO 6405;047339;777035;31/01/2019;01/02/2019;01/02/2019;2;S;158,7;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0011;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;TAMPAO DE EXPANSAO 90X12;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;29,91;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0012;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;TAMPAO DE EXPANSAO 52X10;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;20,53;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0013;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;ROLAMENTO 63122ZC3K52;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;169,01;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0014;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;RETENTOR 65X90X10NBR;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;82,22;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0015;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;VENTILADOR DV160L-180;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;599,96;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0016;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;CALDEIRA MDF-II;ROLAMENTO 62132ZC3K52;047339;777035;31/01/2019;01/02/2019;01/02/2019;1;S;161,32;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511443;0017;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;2;02/01/2019;CALDEIRA MDF-II;RETENTOR 55X90X8NBR;047339;777035;31/01/2019;01/02/2019;01/02/2019;2;S;130,36;L;L;19/01/2019;;;;17/01/2019;113800001;2202002;vinicius.medeiros;RICARDO RODRIGUES;SEW-EURODRIVE BRASIL LTDA;001
;511445;0001;C00030;SERV DE FORNECIMENTO DE MAO-DE-OBRA TERCEIRIZADA;1;02/01/2019;VEICULAR - PTAS;ATENDIMENTO EMERGENCIAL NAS PTAS DA FABRICA;;;;;;0;;0;L;;;;;S;;;;wylliam.bassos;wylliam.bassos;;
;511445;0002;89986;MATERIAL DE CONSERTO APLICADO EM MAQUINAS E EQUIPAMENTOS;1;02/01/2019;VEICULAR - PTAS;MATERIAL APLICADO NAS PTAS;047285;776956;;;;0;S;4,53;L;B;06/02/2019;S;;;14/01/2019;113800001;2299003;wylliam.bassos;wylliam.bassos;ANIOLA EQUIPAMENTOS LTDA;003
;511446;0001;C00030;SERV DE FORNECIMENTO DE MAO-DE-OBRA TERCEIRIZADA;2;03/01/2019;PATIO DE MADEIRA - TC-05;"CONTRATAR DUAS EMENDAS A FRIO ESTEIRA 48"" 3 LONAS LOCAL ABERTO FACIL ACESSO";047216;776732;04/01/2019;09/01/2019;09/01/2019;2;S;4922,02;L;L;20/01/2019;;;;03/01/2019;512204099;2201001;wylliam.bassos;wylliam.bassos;ALPLAN COMERCIO DE CORREIAS LTDA.;003
;511447;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;03/01/2019;VENTILADOR DE FIBRA REJEITADA MDF 1 TAG P023-4910;CONSERTO DO SOFT STARTER SSW03 / ANOMALIA ENCONTRADA : SOFT ALARMANDO FALHA DE IGBT;;;;;;0;;0;L;;;;;S;;;;anderson.rodrigues;anderson.rodrigues;;
;511450;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;03/01/2019;U.H. PRENSA MDP;CONSERTO EXTERNO - BOMBA HIDRAULICA M04 PRENSA MDP - RUIDO EXCESSIVO E VAZAMENTOS;047581;777381;05/02/2019;06/02/2019;06/02/2019;1;S;9978,26;L;L;20/02/2019;;;;05/02/2019;512206002;2299008;vinicius.medeiros;VINICIUS VIDAL;HIDRAUTINI COMERCIAL EIRELI;265
;511451;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;03/01/2019;AREA 04 BP02;CONSERTO EXTERNO - BOMBA HIDRAULICA AREA 4 BP02 - REVISAO GERAL;047518;777380;22/02/2019;25/02/2019;25/02/2019;1;S;33514,19;L;L;20/04/2019;;;;05/02/2019;512206002;2207002;vinicius.medeiros;ELIZANDRO SOARES;HIDRAUTINI COMERCIAL EIRELI;001
;511452;0001;88874;MOLA VOLUTA DOS CILINDROS DA PRENSA BP5;5;03/01/2019;REVESTIMENTO 3 (BP3);SC gerada por SA - PARA USO NO DISPOSITIVO DE CLASSIFICACAO DE CHAPAS;047244;776866;;;;0;S;947,5;L;L;27/01/2019;S;;;09/01/2019;113800001;2207003;leonardo.beretta;elizandro.soares;MOLAS BRASIL LTDA;091
;511452;0002;67544;PARAFUSO SEXTAVADO ISO 4014  M20 X 200 CLASSE 8.8;5;03/01/2019;REVESTIMENTO 3 (BP3);SC gerada por SA - PARA USO NO DISPOSITIVO DE CLASSIFICACAO DE CHAPAS;047241;776865;11/01/2019;15/01/2019;15/01/2019;5;S;49,5;L;L;31/01/2019;;;;09/01/2019;512206002;2207003;leonardo.beretta;elizandro.soares;BRASIL DOS PARAFUSOS COMERCIAL LTDA;003
;511452;0003;88317;ISOLAMENTO TERMICO DO CILINDRO DE PRESSAO DA PRENSA BP5 ESPE;5;03/01/2019;REVESTIMENTO 3 (BP3);SC gerada por SA - PARA USO NO DISPOSITIVO DE CLASSIFICACAO DE CHAPAS;047243;777719;;;;0;;3915;L;B;28/03/2019;S;;;26/02/2019;113800001;2207003;leonardo.beretta;elizandro.soares;ISOLAPLAST - ISOLANTES E PLASTICOS LTDA;003
;511452;0004;87937;ISOLAMENTO TERMICO DO CILINDRO DE PRESSAO DA PRENSA BP5 ESPE;5;03/01/2019;REVESTIMENTO 3 (BP3);SC gerada por SA - PARA USO NO DISPOSITIVO DE CLASSIFICACAO DE CHAPAS;047243;777719;;;;0;;1990;L;B;28/03/2019;S;;;26/02/2019;113800001;2207003;leonardo.beretta;elizandro.soares;ISOLAPLAST - ISOLANTES E PLASTICOS LTDA;003
;511452;0005;74844;KIT DE REPAROS HIDRAULICOS DOS CILINDROS BP4;5;03/01/2019;REVESTIMENTO 3 (BP3);SC gerada por SA - PARA USO NO DISPOSITIVO DE CLASSIFICACAO DE CHAPAS;047242;777206;;;;0;;22950;L;B;12/02/2019;S;;;28/01/2019;512206002;2207003;leonardo.beretta;elizandro.soares;COMERCIAL STARSEAL VEDACOES E FERRAMENTAS LTDA ME;003
;511453;0001;66941;LANCA EMPURRADORA CONFORME DESENHO 02-5915-0037;2;03/01/2019;MDF2 - SERRA TRANSVERSAL;SC gerada por SA - PARA USO NA SERRA TRANSVERSAL DO ACABAMENTO MDF2;;;;;;0;;0;B;;;;;S;;;;leonardo.beretta;elizandro.soares;;
;511453;0002;66942;LANCA EMPURRADORA CONFORME DESENHO 02-5915-0038;2;03/01/2019;MDF2 - SERRA TRANSVERSAL;SC gerada por SA - PARA USO NA SERRA TRANSVERSAL DO ACABAMENTO MDF2;;;;;;0;;0;B;;;;;S;;;;leonardo.beretta;elizandro.soares;;
;511453;0003;66944;LANCA EMPURRADORA CONFORME DESENHO 02-5915-0039;2;03/01/2019;MDF2 - SERRA TRANSVERSAL;SC gerada por SA - PARA USO NA SERRA TRANSVERSAL DO ACABAMENTO MDF2;;;;;;0;;0;B;;;;;S;;;;leonardo.beretta;elizandro.soares;;
;511455;0001;90452;VALVULA DE RETENCAO TIPO WAFER PORTINHOLA UNICA CLASS 150 LB;1;03/01/2019;BOMBA AUTO ESCORVANTE DA LAVAGEM DA LINHA 1;"SC gerada por SA - VALVULA RETENCAO 3"" INOX";;;;;;0;;0;B;;;;;S;;;;anderson.rodrigues;ANTONIO TRINDADE;;
;511456;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;ROSCA PLUG ANDRITZ - REFINADOR MDF-II;CONSERTO EXTERNO - ROSCA PLUG ANDRITZ FORA DAS MEDIDAS ORIGINAIS;;;;;;0;;0;L;;;;;S;;;;vinicius.medeiros;VINICIUS VIDAL;;
;511459;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;TC-16;CONSERTO EXTERNO - BOMBA SUBMERSA TC-16 DESARMANDO DEVIDO CORRENTE ELEVADA;047333;777017;25/01/2019;28/01/2019;28/01/2019;1;S;1976,4;L;L;29/01/2019;;;;17/01/2019;512206002;2201001;vinicius.medeiros;ADILSON BARROS;FLUXOR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA.;020
;511460;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;TC-16;CONSERTO EXTERNO - BOMBA SUBMERSA TC-16 APRESENTA BAIXA ISOLACAO;047519;777957;11/03/2019;11/03/2019;11/03/2019;0;S;2210;L;L;26/03/2019;;;;11/03/2019;512206002;2201001;vinicius.medeiros;ADILSON BARROS;FLUXOR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA.;020
;511461;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;LAVADOR DE GAS MDP;CONSERTO EXTERNO - BOMBA SUBMERSA LAVADOR DE GAS MDP DESARMANDO DEVIDO CORRENTE ELEVADA E TAMPA QUEBRADA;047520;777951;11/03/2019;11/03/2019;11/03/2019;0;S;2011,4;L;L;26/03/2019;;;;11/03/2019;512206002;2299008;vinicius.medeiros;ADILSON BARROS;FLUXOR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA.;020
;511462;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;TC-45;CONSERTO EXTERNO - BOMBA SUBMERSA TC-45 EM CURTO;047336;777021;25/01/2019;28/01/2019;28/01/2019;1;S;1966,4;L;L;29/01/2019;;;;17/01/2019;512206002;2201001;vinicius.medeiros;ADILSON BARROS;FLUXOR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA.;020
;511463;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;TC-27;CONSERTO EXTERNO - BOMBA SUBMERSA TC-27 EM CURTO;047521;777952;11/03/2019;11/03/2019;11/03/2019;0;S;2046,4;L;L;26/03/2019;;;;11/03/2019;512206002;2201001;vinicius.medeiros;ADILSON BARROS;FLUXOR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA.;020
;511465;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;TC-26;CONSERTO EXTERNO - BOMBA SUBMERSA TC-26 EM CURTO;047334;777019;25/01/2019;28/01/2019;28/01/2019;1;S;2011,4;L;L;29/01/2019;;;;17/01/2019;512206002;2201001;vinicius.medeiros;ADILSON BARROS;FLUXOR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA.;020
;511466;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;LIXADEIRA MDF-I;CONSERTO EXTERNO - BOMBA SUBMERSA LIXADEIRA MDF-I BOBINAS ABERTAS;047335;777020;;;;1;S;2596,4;L;L;29/01/2019;;;;17/01/2019;512206002;2206001;vinicius.medeiros;ADILSON BARROS;FLUXOR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA.;020
;511467;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;PATIO DE MADEIRAS;CONSERTO EXTERNO - BOMBA SUBMERSA PATIO DE MADEIRAS CABOS RESSECADOS;047522;777953;11/03/2019;11/03/2019;11/03/2019;0;S;2331,4;L;L;26/03/2019;;;;11/03/2019;512206002;2201001;vinicius.medeiros;ADILSON BARROS;FLUXOR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA.;020
;511468;0001;C00077;SERV DE MANUTENCAO MAQUINAS E EQUIPAMENTOS INDUSTRIAIS;1;04/01/2019;PTA 3 E 4;SERVICO DE SCANER DAS PTAS 3 E 4;047221;776777;07/01/2019;07/01/2019;07/01/2019;1;S;1660,8;L;L;09/01/2019;;;;07/01/2019;512206002;2104003;ricardo.rodrigues;ricardo.rodrigues;ANIOLA EQUIPAMENTOS LTDA;003
;511469;0001;90454;CJ RODA DO ENCODER LINHA BP DESENHO: 04-1000-0026;4;04/01/2019;ENCODER - REVESTIMENTO 4;SC gerada por SA - 04 CONJUNTOS DE RODA DO ENCODER LINEAR (DESENHO FIBRAPLAC: 04-1000-0026);048187;779089;;;;0;;488;L;B;05/06/2019;S;;;14/05/2019;512206002;2207004;leonardo.beretta;adilson.barros;PCR METALURGICA LTDA;003
;511470;0001;12021;CIMENTO SC 50KG;10;04/01/2019;MANUTENCAO CIVIL;SC gerada por SA - INSUMO DE ALTO GIRO PARA MANUTENCAO CIVIL;047263;776902;16/01/2019;22/01/2019;22/01/2019;10;S;316,5;L;L;02/02/2019;;;;09/01/2019;512206005;2201001;leonardo.beretta;adilson.barros;GLORINHA MATERIAIS DE CONSTRUCAO LTDA;003
;511471;0001;90447;SEPARADOR INTERNO PARA ESTEIRA PORTA CABOS;42;04/01/2019;REVESTIMENTO 1;SC gerada por SA - COMPLEMENTO DO PC 776654 (ACOMPANHA ESTEIRA PORTA CABOS COD.2500.05.125.0);047223;776782;25/01/2019;28/01/2019;28/01/2019;42;S;73,5;L;L;01/03/2019;;;;07/01/2019;512301011;2207001;leonardo.beretta;adilson.barros;IGUS DO BRASIL LTDA;003
;511472;0001;12697;RELE FOTOELETRICO 220V 1500W COM BASE;10;04/01/2019;ESTOQUE ALMOXARIFADO CENTRAL;ITEM ZERADO NO ESTOQUE;047230;776794;08/01/2019;09/01/2019;09/01/2019;10;S;258;L;L;10/02/2019;;;;07/01/2019;113800001;1101003;dejalmo.nascimento;dejalmo.nascimento;3RTE MONTAGENS E INSTALACOES ELETRICAS LTDA;003
